Student,Section,WA13.5 (Weekly Assignment for Week 13) (1335123),WA13.5Q1Ê,WA13.5Q2Ê,WA13.5Q3Ê,WA13.5Q4Ê,CDS-130 Final Exam (**Webcam**) (1335084),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,WA Current Points,WA Final Points,WA Current Score,WA Unposted Current Score,WA Final Score,WA Unposted Final Score,YTE Current Points,YTE Final Points,YTE Current Score,YTE Unposted Current Score,YTE Final Score,YTE Unposted Final Score,Ethics Current Points,Ethics Final Points,Ethics Current Score,Ethics Unposted Current Score,Ethics Final Score,Ethics Unposted Final Score,Participation Current Points,Participation Final Points,Participation Current Score,Participation Unposted Current Score,Participation Final Score,Participation Unposted Final Score,Surveys Current Points,Surveys Final Points,Surveys Current Score,Surveys Unposted Current Score,Surveys Final Score,Surveys Unposted Final Score,Stage Exams Current Points,Stage Exams Final Points,Stage Exams Current Score,Stage Exams Unposted Current Score,Stage Exams Final Score,Stage Exams Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credits Current Points,Extra Credits Final Points,Extra Credits Current Score,Extra Credits Unposted Current Score,Extra Credits Final Score,Extra Credits Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade,Treatment
    Points Possible,,20,5,5,5,5,300,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),
c03_4,Summer 2025 Computing for Scientists (CDS-130-C03),20,5,5,5,5,276,0,0,,,,,249,249,94.68,94.68,94.68,94.68,238,238,100,100,100,100,150.5,150.5,99.01,99.01,99.01,99.01,24,24,100,87.5,60,87.5,0,0,,,,,234.6,234.6,98.16,98.16,98.16,98.16,278,278,92.05,92.05,92.05,92.05,81,81,,,,,1255.1,1255.1,103.05,102.6,101.71,102.6,A+,A+,A+,A+,0
c03_1,Summer 2025 Computing for Scientists (CDS-130-C03),20,5,5,5,5,299,0,0,,,,,251,251,95.44,95.44,95.44,95.44,238,238,100,100,100,100,151.11,151.11,99.42,99.42,99.42,99.42,22,22,91.67,95,55,95,0,0,,,,,233.67,233.67,97.77,97.77,97.77,97.77,301,301,99.67,99.67,99.67,99.67,78,78,,,,,1274.78,1274.78,104.66,104.6,103.3,104.6,A+,A+,A+,A+,0
c03_5,Summer 2025 Computing for Scientists (CDS-130-C03),20,5,5,5,5,229,0,0,,,,,244.75,244.75,93.06,93.06,93.06,93.06,225.77,225.77,94.86,94.86,94.86,94.86,152,152,100,100,100,100,23.5,23.5,97.92,98.75,58.75,98.75,0,0,,,,,222,222,92.89,92.89,92.89,92.89,231,231,76.49,76.49,76.49,76.49,41,41,,,,,1140.02,1140.02,93.6,93.68,92.38,93.68,A,A,A-,A,0
c03_2,Summer 2025 Computing for Scientists (CDS-130-C03),20,5,5,5,5,294,0,0,,,,,254.5,254.5,96.77,96.77,96.77,96.77,237,237,99.58,99.58,99.58,99.58,150.5,150.5,99.01,99.01,99.01,99.01,24,24,100,100,60,100,0,0,,,,,228.6,228.6,95.65,95.65,95.65,95.65,296,296,98.01,98.01,98.01,98.01,76,76,,,,,1266.6,1266.6,103.99,103.94,102.64,103.94,A+,A+,A+,A+,0
c03_3,Summer 2025 Computing for Scientists (CDS-130-C03),20,5,5,5,5,242.5,0,0,,,,,244,244,92.78,92.78,92.78,92.78,238,238,100,100,100,100,151.12,151.12,99.42,99.42,99.42,99.42,24,24,100,100,60,100,0,0,,,,,169.87,169.87,71.07,71.07,71.07,71.07,244.5,244.5,80.96,80.96,80.96,80.96,61,61,,,,,1132.49,1132.49,92.98,93.07,91.77,93.07,A,A,A-,A,0
