Student,Section,WA13.5 (Weekly Assignment for Week 13) (1177313),Pre-CDS-130 Computer Experience and Comfort Survey (1177300),Permission to Take Part in a Human Research Study  (1177299),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,WA Current Points,WA Final Points,WA Current Score,WA Unposted Current Score,WA Final Score,WA Unposted Final Score,YTE Current Points,YTE Final Points,YTE Current Score,YTE Unposted Current Score,YTE Final Score,YTE Unposted Final Score,Ethics Current Points,Ethics Final Points,Ethics Current Score,Ethics Unposted Current Score,Ethics Final Score,Ethics Unposted Final Score,Participation Current Points,Participation Final Points,Participation Current Score,Participation Unposted Current Score,Participation Final Score,Participation Unposted Final Score,Surveys Current Points,Surveys Final Points,Surveys Current Score,Surveys Unposted Current Score,Surveys Final Score,Surveys Unposted Final Score,Stage Exams Current Points,Stage Exams Final Points,Stage Exams Current Score,Stage Exams Unposted Current Score,Stage Exams Final Score,Stage Exams Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credits Current Points,Extra Credits Final Points,Extra Credits Current Score,Extra Credits Unposted Current Score,Extra Credits Final Score,Extra Credits Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,20,11,10,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
a02_01,Summer 2025 Computing for Scientists (CDS-130-A02),0,11,10,0,0,,,,,224,224,85.17,85.17,85.17,85.17,217.28,217.28,91.29,91.29,91.29,91.29,118.5,118.5,77.96,77.96,77.96,77.96,21,21,87.5,92.5,52.5,92.5,0,0,,,,,217.67,217.67,91.07,91.07,91.07,91.07,285,285,94.37,94.37,94.37,94.37,49,49,,,,,1132.44,1132.44,92.98,93.07,91.77,93.07,A,A,A-,A
